timestamp_c,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.dstport,udp.length,data.data,data.len,wlan.fc.type,wlan.fc.subtype,time_since_last_packet,class,is_attack
28121.90208,222,228.0,3,44,0,1,0,1,0,0,75,2048,20,194.0,72,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,133,166.0,2,8,3.129213,benign,0
28121.94742,232,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.045336,benign,0
28121.95416,234,75.0,3,44,0,1,0,1,0,0,76,2048,20,41.0,73,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,21.0,229,13.0,2,8,0.00674,benign,0
28122.00414,237,227.0,3,44,0,1,0,1,0,0,77,2048,20,193.0,74,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173.0,134,165.0,2,8,0.049986,benign,0
28122.03025,239,86.0,2,44,1,0,1,0,0,0,98,2048,20,52.0,39356,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.02611,benign,0
28122.03047,240,86.0,2,44,1,0,1,0,0,0,98,2048,20,52.0,39356,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.000219,benign,0
28122.03178,241,86.0,2,44,1,0,1,0,0,0,98,2048,20,52.0,39356,64,128,6,2,4,55125,53,4045876660,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.001308,benign,0
28122.10604,243,227.0,3,44,0,1,0,1,0,0,78,2048,20,193.0,75,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173.0,131,165.0,2,8,0.07426,benign,0
28122.15201,245,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.04597,benign,0
28122.2083,247,228.0,3,44,0,1,0,1,0,0,79,2048,20,194.0,76,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,132,166.0,2,8,0.056284,benign,0
28122.23157,249,86.0,2,44,1,0,1,0,0,0,99,2048,20,52.0,39357,64,128,6,2,4,51533,53,594698260,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.023279,benign,0
28122.25434,251,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.022768,benign,0
28122.25895,253,74.0,3,44,0,1,0,1,0,0,80,2048,20,40.0,77,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,20.0,218,12.0,2,8,0.004603,benign,0
28122.25922,254,74.0,3,44,0,1,0,1,0,0,80,2048,20,40.0,77,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,20.0,218,12.0,2,8,0.000275,benign,0
28122.31002,256,228.0,3,44,0,1,0,1,0,0,81,2048,20,194.0,78,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,127,166.0,2,8,0.050795,benign,0
28122.35682,258,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.046803,benign,0
28122.79747,259,98.0,0,320,3,1,3,1,0,0,213,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,0.440656,benign,0
28122.89205,260,98.0,0,320,3,1,3,1,0,0,215,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,0.094574,benign,0
28122.89474,261,98.0,0,320,3,1,3,1,0,0,215,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,0.002691,benign,0
28125.52323,279,227.0,3,44,0,1,0,1,0,0,117,2048,20,193.0,114,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173.0,144,165.0,2,8,2.628489,benign,0
28125.53186,281,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.008633,benign,0
28125.62487,287,86.0,2,44,1,0,1,0,0,0,114,2048,20,52.0,16777,64,128,6,2,3,50977,53,3062186483,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.093012,benign,0
28125.62489,288,86.0,2,44,1,0,1,0,0,0,114,2048,20,52.0,16777,64,128,6,2,3,50977,53,3062186483,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,1.4e-05,benign,0
28125.62491,290,227.0,3,44,0,1,0,1,0,0,118,2048,20,193.0,115,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173.0,143,165.0,2,8,2.2e-05,benign,0
28125.6335,292,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.008588,benign,0
28125.72718,294,229.0,3,44,0,1,0,1,0,0,119,2048,20,195.0,116,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,145,167.0,2,8,0.093683,benign,0
28125.7359,296,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.008715,benign,0
28125.79631,298,86.0,2,44,1,0,1,0,0,0,115,2048,20,52.0,16778,64,128,6,2,3,55186,53,1297781637,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.06041,benign,0
28125.82909,300,231.0,3,44,0,1,0,1,0,0,120,2048,20,197.0,117,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,146,169.0,2,8,0.032784,benign,0
28125.83831,302,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.009217,benign,0
28125.93112,304,227.0,3,44,0,1,0,1,0,0,121,2048,20,193.0,118,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,173.0,147,165.0,2,8,0.092811,benign,0
28125.94084,306,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.009719,benign,0
28129.04171,321,229.0,3,44,0,1,0,1,0,0,158,2048,20,195.0,155,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,130,167.0,2,8,3.100869,benign,0
28129.11508,323,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.073377,benign,0
28129.1437,325,232.0,3,44,0,1,0,1,0,0,159,2048,20,198.0,156,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,178.0,128,170.0,2,8,0.028615,benign,0
28129.21745,327,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.073751,benign,0
28129.24573,329,231.0,3,44,0,1,0,1,0,0,160,2048,20,197.0,157,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,129,169.0,2,8,0.028286,benign,0
28129.31987,333,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.074131,benign,0
28129.34771,335,230.0,3,44,0,1,0,1,0,0,161,2048,20,196.0,158,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,125,168.0,2,8,0.027848,benign,0
28129.42258,336,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.074862,benign,0
28129.44974,338,228.0,3,44,0,1,0,1,0,0,162,2048,20,194.0,159,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,126,166.0,2,8,0.027162,benign,0
28129.52472,340,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.074982,benign,0
28129.52595,342,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.001234,benign,0
28132.25886,352,230.0,3,320,0,1,0,1,0,0,196,2048,20,196.0,192,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,142,168.0,2,8,2.732904,benign,0
28132.59659,359,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.337729,benign,0
28132.62518,361,72.0,3,44,1,0,1,0,0,0,142,2048,20,38.0,29076,0,128,17,2,1,0,0,0,0,0,0,0,0,8889,8889,18.0,1,10.0,2,8,0.028589,benign,0
28132.65582,363,86.0,2,44,1,0,1,0,0,0,143,2048,20,52.0,16792,64,128,6,2,3,50977,53,3062186483,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.030643,benign,0
28132.66261,365,231.0,3,44,0,1,0,1,0,0,201,2048,20,197.0,197,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,137,169.0,2,8,0.006795,benign,0
28132.69902,367,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.036409,benign,0
28132.76471,369,231.0,3,44,0,1,0,1,0,0,202,2048,20,197.0,198,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,138,169.0,2,8,0.06569,benign,0
28132.80151,371,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.036798,benign,0
28132.8668,373,229.0,3,44,0,1,0,1,0,0,203,2048,20,195.0,199,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,139,167.0,2,8,0.06529,benign,0
28132.974,375,232.0,3,44,0,1,0,1,0,0,204,2048,20,198.0,200,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,178.0,140,170.0,2,8,0.107202,benign,0
28133.00633,377,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.032325,benign,0
28133.01929,379,75.0,3,44,0,1,0,1,0,0,205,2048,20,41.0,201,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,21.0,230,13.0,2,8,0.01296,benign,0
28133.07055,381,230.0,3,44,0,1,0,1,0,0,206,2048,20,196.0,202,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,141,168.0,2,8,0.051266,benign,0
28133.58487,383,230.0,3,320,0,1,0,1,0,0,211,2048,20,196.0,207,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,124,168.0,2,8,0.51432,benign,0
28133.5873,384,230.0,3,320,0,1,0,1,0,0,211,2048,20,196.0,207,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,124,168.0,2,8,0.002425,benign,0
28136.18054,401,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,2.593243,benign,0
28136.23341,403,230.0,3,44,0,1,0,1,0,0,241,2048,20,196.0,237,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,173,168.0,2,8,0.052864,benign,0
28136.2365,405,86.0,2,44,1,0,1,0,0,0,152,2048,20,52.0,39372,64,128,6,2,4,62655,53,3919102779,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.00309,benign,0
28136.28297,407,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.046472,benign,0
28136.28428,409,74.0,3,44,0,1,0,1,0,0,242,2048,20,40.0,238,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,20.0,219,12.0,2,8,0.001315,benign,0
28136.2845,411,231.0,3,44,0,1,0,1,0,0,243,2048,20,197.0,239,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,172,169.0,2,8,0.000221,benign,0
28136.38577,413,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.101268,benign,0
28136.38638,415,229.0,3,44,0,1,0,1,0,0,244,2048,20,195.0,240,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,171,167.0,2,8,0.000609,benign,0
28136.43962,417,86.0,2,44,1,0,1,0,0,0,153,2048,20,52.0,39373,64,128,6,2,4,54190,53,2220003350,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.053241,benign,0
28136.488,419,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.048377,benign,0
28136.48841,421,231.0,3,44,0,1,0,1,0,0,245,2048,20,197.0,241,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,175,169.0,2,8,0.00041,benign,0
28136.59016,423,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.101747,benign,0
28136.59045,425,229.0,3,44,0,1,0,1,0,0,246,2048,20,195.0,242,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,174,167.0,2,8,0.000294,benign,0
28139.75213,463,233.0,3,44,0,1,0,1,0,0,282,2048,20,199.0,278,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,179.0,198,171.0,2,8,3.161677,benign,0
28139.7645,465,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.012374,benign,0
28139.82007,467,86.0,2,44,1,0,1,0,0,0,161,2048,20,52.0,16793,64,128,6,2,3,55186,53,1297781637,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.055566,benign,0
28139.85424,469,233.0,3,44,0,1,0,1,0,0,283,2048,20,199.0,279,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,179.0,197,171.0,2,8,0.034173,benign,0
28139.86692,471,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.012677,benign,0
28139.95658,473,230.0,3,44,0,1,0,1,0,0,284,2048,20,196.0,280,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,165,168.0,2,8,0.089667,benign,0
28139.96932,475,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.012737,benign,0
28140.02408,477,86.0,2,44,1,0,1,0,0,0,162,2048,20,52.0,16794,64,128,6,2,3,55196,53,2556476167,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.054759,benign,0
28140.0584,478,75.0,3,44,0,1,0,1,0,0,285,2048,20,41.0,281,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,21.0,231,13.0,2,8,0.034319,benign,0
28140.05842,480,232.0,3,44,0,1,0,1,0,0,286,2048,20,198.0,282,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,178.0,164,170.0,2,8,2.4e-05,benign,0
28140.07171,482,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.013292,benign,0
28140.16064,484,232.0,3,44,0,1,0,1,0,0,287,2048,20,198.0,283,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,178.0,163,170.0,2,8,0.088921,benign,0
28143.34873,500,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,3.188094,benign,0
28143.3741,502,229.0,3,44,0,1,0,1,0,0,326,2048,20,195.0,321,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,158,167.0,2,8,0.025368,benign,0
28143.45112,504,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.077027,benign,0
28143.47615,506,230.0,3,44,0,1,0,1,0,0,327,2048,20,196.0,322,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,159,168.0,2,8,0.025027,benign,0
28143.55561,508,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.079457,benign,0
28143.57803,510,230.0,3,44,0,1,0,1,0,0,328,2048,20,196.0,323,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,149,168.0,2,8,0.022426,benign,0
28143.65592,512,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.077881,benign,0
28143.68035,514,228.0,3,44,0,1,0,1,0,0,329,2048,20,194.0,324,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,177,166.0,2,8,0.024438,benign,0
28143.68057,515,228.0,3,44,0,1,0,1,0,0,329,2048,20,194.0,324,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,177,166.0,2,8,0.000214,benign,0
28143.7583,517,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.077737,benign,0
28143.78198,519,228.0,3,44,0,1,0,1,0,0,330,2048,20,194.0,325,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,176,166.0,2,8,0.023679,benign,0
28143.78224,520,228.0,3,44,0,1,0,1,0,0,330,2048,20,194.0,325,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,176,166.0,2,8,0.000255,benign,0
28144.08615,522,98.0,0,320,3,1,3,1,0,0,425,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,0.303911,benign,0
28144.09292,523,98.0,0,320,3,1,3,1,0,0,425,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,0.006774,benign,0
28144.18146,524,98.0,0,320,3,1,3,1,0,0,427,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,5,0.08854,benign,0
28146.38955,537,230.0,3,320,0,1,0,1,0,0,361,2048,20,196.0,356,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,190,168.0,2,8,2.208082,benign,0
28146.89294,547,230.0,3,44,0,1,0,1,0,0,367,2048,20,196.0,362,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,186,168.0,2,8,0.503399,benign,0
28146.93252,549,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.039571,benign,0
28146.99493,551,233.0,3,44,0,1,0,1,0,0,368,2048,20,199.0,363,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,179.0,185,171.0,2,8,0.062412,benign,0
28147.03486,553,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.039936,benign,0
28147.04583,555,75.0,3,44,0,1,0,1,0,0,369,2048,20,41.0,364,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8899,21.0,232,13.0,2,8,0.010968,benign,0
28147.09711,557,231.0,3,44,0,1,0,1,0,0,370,2048,20,197.0,365,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,189,169.0,2,8,0.051274,benign,0
28147.13729,559,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.040188,benign,0
28147.19892,561,231.0,3,44,0,1,0,1,0,0,371,2048,20,197.0,366,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,177.0,188,169.0,2,8,0.061626,benign,0
28147.2397,563,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.040777,benign,0
28147.30092,565,230.0,3,44,0,1,0,1,0,0,372,2048,20,196.0,367,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,176.0,187,168.0,2,8,0.06122,benign,0
28147.34203,567,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.041112,benign,0
28150.46389,597,86.0,2,44,1,0,1,0,0,0,192,2048,20,52.0,39388,64,128,6,2,4,54190,53,2220003350,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,3.121858,benign,0
28150.46411,598,86.0,2,44,1,0,1,0,0,0,192,2048,20,52.0,39388,64,128,6,2,4,54190,53,2220003350,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.00022,benign,0
28150.46441,599,86.0,2,44,1,0,1,0,0,0,192,2048,20,52.0,39388,64,128,6,2,4,54190,53,2220003350,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.000301,benign,0
28150.5137,600,228.0,3,44,0,1,0,1,0,0,410,2048,20,194.0,405,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,174.0,193,166.0,2,8,0.04929,benign,0
28150.51641,602,26.0,0,60,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,2,12,0.00271,benign,0
28150.61596,604,229.0,3,44,0,1,0,1,0,0,411,2048,20,195.0,406,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,196,167.0,2,8,0.099552,benign,0
28150.66566,606,86.0,2,44,1,0,1,0,0,0,193,2048,20,52.0,39389,64,128,6,2,4,50004,53,1692878614,0,32,2,64240,1,0,0,0.0,0,0.0,2,8,0.049701,benign,0
28150.7181,608,229.0,3,44,0,1,0,1,0,0,412,2048,20,195.0,407,0,255,17,1,2,0,0,0,0,0,0,0,0,8889,8890,175.0,195,167.0,2,8,0.052439,benign,0
